synset_id,"synset_word",anto_action_id,"anto_action_word"
31109,"लंघन",31105,"अलंघन"
31109,"लङ्घन",31105,"अलङ्घन"
32271,"कुसंग",25143,"सत्संग"
32271,"असत्संग",25143,"सत्संग"
32240,"असहयोग",7518,"सहयोग"
32240,"असहभाग",7518,"सहभाग"
32240,"असहयोगिता",7518,"सहयोगिता"
32240,"असहकारिता",7518,"सहकारिता"
32811,"आज्ञापालन",32812,"आज्ञाभंग"
32811,"आज्ञानुगमन",32812,"आज्ञाउलंघन"
32811,"आज्ञानुसरण",32812,"आज्ञाउलंघन"
32812,"आज्ञाभंग",32811,"आज्ञापालन"
32812,"आज्ञाउलंघन",32811,"आज्ञानुगमन"
32812,"आज्ञाउलंघन",32811,"आज्ञानुसरण"
